part,qty,kind,print_file,bbox_mm,volume_cm3,solid_g,faces,note
battery_pack_lid,1,printed PLA,reference/Open_Duck_Mini/print/battery_pack_lid.stl,8 x 51 x 86,23.6,29,2390,
body_back,1,printed PLA,reference/Open_Duck_Mini/print/body_back.stl,40 x 110 x 125,105.5,131,9894,
body_front,1,printed PLA,reference/Open_Duck_Mini/print/body_front.stl,10 x 110 x 143,142.6,177,4802,
body_middle_bottom,1,printed PLA,reference/Open_Duck_Mini/print/body_middle_bottom.stl,150 x 110 x 86,147.5,183,8364,
body_middle_top,1,printed PLA,reference/Open_Duck_Mini/print/body_middle_top.stl,150 x 110 x 57,76.3,95,6012,
foot_bottom_pla,2,printed PLA,reference/Open_Duck_Mini/print/foot_bottom_pla.stl,93 x 28 x 8,15.9,20,1184,
foot_side,2,printed PLA,reference/Open_Duck_Mini/print/foot_side.stl,103 x 12 x 46,21.4,27,4894,
foot_top,2,printed PLA,reference/Open_Duck_Mini/print/foot_top.stl,103 x 35 x 46,39.7,49,4932,
head,1,printed PLA,reference/Open_Duck_Mini/print/head.stl,200 x 197 x 59,217.2,269,21634,
head_bot_sheet,1,printed PLA,reference/Open_Duck_Mini/print/head_bot_sheet.stl,194 x 192 x 3,65.9,82,5840,
head_pitch_to_yaw,1,printed PLA,reference/Open_Duck_Mini/print/head_pitch_to_yaw.stl,32 x 45 x 72,13.5,17,13460,
head_roll_mount,1,printed PLA,reference/Open_Duck_Mini/print/head_roll_mount.stl,40 x 65 x 15,13.4,17,5628,
head_yaw_to_roll,1,printed PLA,reference/Open_Duck_Mini/print/head_yaw_to_roll.stl,88 x 80 x 42,29.4,36,6964,
left_antenna_holder,1,printed PLA,reference/Open_Duck_Mini/print/left_antenna_holder.stl,27 x 20 x 42,2.9,4,2168,
left_cache,1,printed PLA,reference/Open_Duck_Mini/print/left_cache.stl,90 x 40 x 153,64.6,80,2144,
left_knee_to_ankle_left_sheet,4,printed PLA,reference/Open_Duck_Mini/print/knee_to_ankle_left_sheet.stl,31 x 8 x 71,8.3,10,5686,
left_knee_to_ankle_right_sheet,4,printed PLA,reference/Open_Duck_Mini/print/knee_to_ankle_right_sheet.stl,31 x 7 x 71,6.5,8,5798,
left_roll_to_pitch,1,printed PLA,reference/Open_Duck_Mini/print/left_roll_to_pitch.stl,47 x 86 x 31,29.4,36,10094,
leg_spacer,4,printed PLA,reference/Open_Duck_Mini/print/leg_spacer.stl,28 x 37 x 10,7.1,9,3180,
neck_left_sheet,1,printed PLA,reference/Open_Duck_Mini/print/neck_left_sheet.stl,31 x 7 x 58,8.1,10,4228,
neck_right_sheet,1,printed PLA,reference/Open_Duck_Mini/print/neck_right_sheet.stl,31 x 6 x 58,6.2,8,4312,
right_antenna_holder,1,printed PLA,reference/Open_Duck_Mini/print/right_antenna_holder.stl,27 x 20 x 42,2.9,4,2168,
right_cache,1,printed PLA,reference/Open_Duck_Mini/print/right_cache.stl,90 x 40 x 153,64.6,80,2144,
right_roll_to_pitch,1,printed PLA,reference/Open_Duck_Mini/print/right_roll_to_pitch.stl,47 x 86 x 31,29.4,36,10092,
roll_motor_bottom,2,printed PLA,reference/Open_Duck_Mini/print/roll_motor_bottom.stl,32 x 31 x 31,8.5,11,1790,
roll_motor_top,2,printed PLA,reference/Open_Duck_Mini/print/roll_motor_top.stl,38 x 29 x 20,9.2,11,4530,
trunk_bottom,1,printed PLA,reference/Open_Duck_Mini/print/trunk_bottom.stl,54 x 108 x 74,82.6,102,5648,
trunk_top,1,printed PLA,reference/Open_Duck_Mini/print/trunk_top.stl,125 x 101 x 41,144.7,179,19028,
foot_bottom_tpu,2,printed TPU,reference/Open_Duck_Mini/print/foot_bottom_tpu.stl,102 x 41 x 8,23.6,29,2054,
drive_palonier,14,servo horn (STS3215),,20 x 5 x 20,0.8,,2050,
passive_palonier,14,servo horn (STS3215),,20 x 3 x 20,0.6,,2048,
roll_bearing,3,bearing,,32 x 32 x 7,3.4,,576,
sg90,2,micro servo SG90,,33 x 13 x 31,7.9,,1344,
antenna,2,antenna (steel wire),,4 x 39 x 146,0.4,,576,
cell,2,battery cell 18650,,18 x 18 x 65,16.4,,5472,
bms,1,electronics,,41 x 16 x 4,2.3,,12,
power_switch,1,electronics,,23 x 7 x 17,1.0,,1930,
usb_c_charger,1,electronics,,38 x 18 x 5,1.4,,1212,
board,2,PCB,,42 x 33 x 2,2.1,,9916,
bno055,1,"electronics, replaced by Atech Motion Sensor module",,20 x 27 x 3,1.6,,1468,replaced by Atech Motion Sensor module
holder,1,placeholder box (holder),,76 x 41 x 20,7.5,,28,
raspberrypizerow,1,"electronics, replaced by Atech 14-port board",,66 x 4 x 31,3.2,,21256,replaced by Atech 14-port board
atech_motherboard_14_port,1,Atech board,,60 x 120 x 6,,,16069,position in the trunk assumed (DESIGN.md Q1)
